   3  9238 40 0 VIRGINI 4000  TAZEWELL, HENRY          
   4  9489  1 0 CONNECT    1  TRUMBULL, JONATHAN       
   4  2936  1 0 CONNECT    1  ELLSWORTH, OLIVER        
   4  4433  1 0 CONNECT    1  HILLHOUSE, JAMES         
   4  9452  1 0 CONNECT    1  TRACY, URIAH             
   4  9676 11 0 DELAWAR    1  VINING, JOHN             
   4  5494 11 0 DELAWAR    1  LATIMER, HENRY           
   4  3877 44 0 GEORGIA    1  GUNN, JAMES -GEORGIA-    
   4  4854 44 0 GEORGIA  200  JACKSON, JAMES -GEORGIA. 
   4  9796 44 0 GEORGIA    1  WALTON, GEORGE           
   4  9189 44 0 GEORGIA  200  TATTNALL, JOSIAH         
   4  6000 51 0 KENTUCK    1  MARSHALL, HUMPHREY -KENTU
   4  1118 51 0 KENTUCK  200  BROWN, JOHN -VIRGINIA-   
   4  4333 52 0 MARYLAN    1  HENRY, JOHN -MARYLAND-   
   4  7564 52 0 MARYLAN    1  POTTS, RICHARD           
   4  4628 52 0 MARYLAN    1  HOWARD, JOHN EAGER       
   4  9028  3 0 MASSACH    1  STRONG, CALEB            
   4  1384  3 0 MASSACH    1  CABOT, GEORGE            
   4  8344  3 0 MASSACH    1  SEDGWICK, THEODORE       
   4  3674  3 0 MASSACH    1  GOODHUE, BENJAMIN        
   4  5449  4 0 NEW HAM  200  LANGDON, JOHN            
   4  5713  4 0 NEW HAM    1  LIVERMORE, SAMUEL        
   4  8150 12 0 NEW JER    1  RUTHERFURD, JOHN         
   4  3361 12 0 NEW JER    1  FRELINGHUYSEN, FREDERICK 
   4  8964 12 0 NEW JER    1  STOCKTON, RICHARD -NEW JE
   4  1302 13 0 NEW YOR  200  BURR, AARON              
   4  5270 13 0 NEW YOR    1  KING, RUFUS              
   4  5498 13 0 NEW YOR    1  LAURANCE, JOHN           
   4  6012 47 0 NORTH C  200  MARTIN, ALEXANDER        
   4   800 47 0 NORTH C  200  BLOODWORTH, TIMOTHY      
   4  8070 14 0 PENNSYL    1  ROSS, JAMES              
   4   719 14 0 PENNSYL    1  BINGHAM, WILLIAM         
   4   951  5 0 RHODE I    1  BRADFORD, WILLIAM        
   4  3315  5 0 RHODE I    1  FOSTER, THEODORE         
   4  7763 48 0 SOUTH C    1  READ, JACOB              
   4  1346 48 0 SOUTH C  200  BUTLER, PIERCE           
   4  4753 48 0 SOUTH C  200  HUNTER, JOHN             
   4  1888 54 0 TENNESS  200  COCKE, WILLIAM           
   4   806 54 0 TENNESS  200  BLOUNT, WILLIAM          
   4  7164  6 0 VERMONT    1  PAINE, ELIJAH            
   4  7989  6 0 VERMONT  200  ROBINSON, MOSES          
   4  9378  6 0 VERMONT    1  TICHENOR, ISAAC          
   4  9238 40 0 VIRGINI  200  TAZEWELL, HENRY          
   4  6063 40 0 VIRGINI  200  MASON, STEVENS THOMSON   
   5  4433  1 0 CONNECT    1  HILLHOUSE, JAMES         
   5  9452  1 0 CONNECT    1  TRACY, URIAH             
   5  5494 11 0 DELAWAR    1  LATIMER, HENRY           
   5  9676 11 0 DELAWAR    1  VINING, JOHN             
   5  1823 11 0 DELAWAR    1  CLAYTON, JOSHUA          
   5  9947 11 0 DELAWAR    1  WELLS, WILLIAM HILL      
   5  3877 44 0 GEORGIA    1  GUNN, JAMES -GEORGIA-    
   5  9189 44 0 GEORGIA  200  TATTNALL, JOSIAH         
   5  1118 51 0 KENTUCK  200  BROWN, JOHN -VIRGINIA-   
   5  6000 51 0 KENTUCK    1  MARSHALL, HUMPHREY -KENTU
   5  4628 52 0 MARYLAN    1  HOWARD, JOHN EAGER       
   5  4333 52 0 MARYLAN    1  HENRY, JOHN -MARYLAND-   
   5  5725 52 0 MARYLAN    1  LLOYD, JAMES -MARYLAND-  
   5  8344  3 0 MASSACH    1  SEDGWICK, THEODORE       
   5  3674  3 0 MASSACH    1  GOODHUE, BENJAMIN        
   5  5713  4 0 NEW HAM    1  LIVERMORE, SAMUEL        
   5  5449  4 0 NEW HAM  200  LANGDON, JOHN            
   5  8964 12 0 NEW JER    1  STOCKTON, RICHARD -NEW JE
   5  8150 12 0 NEW JER    1  RUTHERFURD, JOHN         
   5  2351 12 0 NEW JER    1  DAVENPORT, FRANKLIN      
   5  5498 13 0 NEW YOR    1  LAURANCE, JOHN           
   5  8282 13 0 NEW YOR    1  SCHUYLER, PHILIP JOHN    
   5  4469 13 0 NEW YOR    1  HOBART, JOHN SLOSS       
   5  6963 13 0 NEW YOR    1  NORTH, WILLIAM           
   5  9874 13 0 NEW YOR    1  WATSON, JAMES            
   5   800 47 0 NORTH C  200  BLOODWORTH, TIMOTHY      
   5  6012 47 0 NORTH C  200  MARTIN, ALEXANDER        
   5  8070 14 0 PENNSYL    1  ROSS, JAMES              
   5   719 14 0 PENNSYL    1  BINGHAM, WILLIAM         
   5  3315  5 0 RHODE I    1  FOSTER, THEODORE         
   5   951  5 0 RHODE I    1  BRADFORD, WILLIAM        
   5  3791  5 0 RHODE I    1  GREENE, RAY              
   5  7763 48 0 SOUTH C    1  READ, JACOB              
   5  4753 48 0 SOUTH C  200  HUNTER, JOHN             
   5  7455 48 0 SOUTH C  200  PINCKNEY, CHARLES        
   5   806 54 0 TENNESS  200  BLOUNT, WILLIAM          
   5  1888 54 0 TENNESS  200  COCKE, WILLIAM           
   5  4843 54 0 TENNESS  200  JACKSON, ANDREW          
   5   174 54 0 TENNESS  200  ANDERSON, JOSEPH         
   5  8608 54 0 TENNESS  200  SMITH, DANIEL            
   5  7164  6 0 VERMONT    1  PAINE, ELIJAH            
   5  9378  6 0 VERMONT    1  TICHENOR, ISAAC          
   5  1706  6 0 VERMONT    1  CHIPMAN, NATHANIEL       
   5  9238 40 0 VIRGINI  200  TAZEWELL, HENRY          
   5  6063 40 0 VIRGINI  200  MASON, STEVENS THOMSON   
   6  9452  1 0 CONNECT    1  TRACY, URIAH             
   6  4433  1 0 CONNECT    1  HILLHOUSE, JAMES         
   6  9947 11 0 DELAWAR    1  WELLS, WILLIAM HILL      
   6  5494 11 0 DELAWAR    1  LATIMER, HENRY           
   6  3877 44 0 GEORGIA    1  GUNN, JAMES -GEORGIA-    
   6   379 44 0 GEORGIA  200  BALDWIN, ABRAHAM         
   6  6000 51 0 KENTUCK    1  MARSHALL, HUMPHREY -KENTU
   6  1118 51 0 KENTUCK  200  BROWN, JOHN -VIRGINIA-   
   6  4628 52 0 MARYLAN    1  HOWARD, JOHN EAGER       
   6  5725 52 0 MARYLAN    1  LLOYD, JAMES -MARYLAND-  
   6  4441 52 0 MARYLAN    1  HINDMAN, WILLIAM         
   6  2550  3 0 MASSACH    1  DEXTER, SAMUEL           
   6  3674  3 0 MASSACH    1  GOODHUE, BENJAMIN        
   6  3303  3 0 MASSACH    1  FOSTER, DWIGHT           
   6  6058  3 0 MASSACH    1  MASON, JONATHAN          
   6  5713  4 0 NEW HAM    1  LIVERMORE, SAMUEL        
   6  5449  4 0 NEW HAM  200  LANGDON, JOHN            
   6  2440 12 0 NEW JER    1  DAYTON, JONATHAN         
   6  8278 12 0 NEW JER    1  SCHUREMAN, JAMES         
   6  7029 12 0 NEW JER    1  OGDEN, AARON             
   6  9874 13 0 NEW YOR    1  WATSON, JAMES            
   6  5498 13 0 NEW YOR    1  LAURANCE, JOHN           
   6  6703 13 0 NEW YOR    1  MORRIS, GOUVERNEUR       
   6   233 13 0 NEW YOR  200  ARMSTRONG, JOHN -NEW YORK
   6   800 47 0 NORTH C  200  BLOODWORTH, TIMOTHY      
   6  3342 47 0 NORTH C  200  FRANKLIN, JESSE          
   6  8070 14 0 PENNSYL    1  ROSS, JAMES              
   6   719 14 0 PENNSYL    1  BINGHAM, WILLIAM         
   6  3315  5 0 RHODE I    1  FOSTER, THEODORE         
   6  3791  5 0 RHODE I    1  GREENE, RAY              
   6  7455 48 0 SOUTH C  200  PINCKNEY, CHARLES        
   6  7763 48 0 SOUTH C    1  READ, JACOB              
   6  1888 54 0 TENNESS  200  COCKE, WILLIAM           
   6   174 54 0 TENNESS  200  ANDERSON, JOSEPH         
